Galaxy,R.A.,Dec.,u_mag,g_mag,r_mag,i_mag,log10(Stellar Mass[Msol]),log10(SFR[Msol/yr])
F1,187.03615,20.17954,16.32,15.06,14.47,14.17,10.01,-1.27
F2,187.29655,20.367157,16.94,15.82,15.44,15.3,9.24,-0.23
F3,189.49187,20.346436,17.78,16.63,16.1,15.82,9.28,-0.8
F4,190.31026,20.66619,17.72,16.39,15.81,15.52,9.53,-0.51
F5,191.34267,19.189379,18.37,17.02,16.48,16.21,9.12,-1.11
F6,191.08922,20.024338,17.6,16.53,16.08,15.85,9.12,-0.79
F7,189.52927,22.313654,18.32,16.86,16.36,16.12,9.08,-1.6
F8,188.188,21.02448,18.41,17.17,16.58,16.29,9.27,-0.93
F9,187.45576,22.37214,16.32,15.03,14.42,14.15,10.1,-0.1
F10,189.53201,22.698595,16.59,15.4,14.88,14.59,9.84,-0.62
F11,191.329,21.535763,16.89,15.68,15.21,14.97,9.54,-0.27
F12,190.47108,22.348806,18.2,16.7,16.1,15.81,9.5,-0.98
F13,190.39886,22.494848,18.36,17.05,16.62,16.39,9.09,-0.61
F14,190.70586,22.772808,17.5,16.33,15.93,15.77,9.12,-0.39
F15,191.28868,23.039059,18.72,17.56,17.07,16.7,9.28,-0.74
F16,193.54214,21.000727,17.92,16.74,16.37,16.16,9.04,-0.44
F17,193.14056,22.064716,17.54,16.55,16.08,15.86,9.21,-0.51
F18,195.1641,21.69171,16.72,15.52,14.91,14.56,10.02,-0.17
F19,196.0451,22.289669,16.06,15.17,14.68,14.45,10.11,0.51
F20,189.35268,23.864058,17.65,16.52,16.08,15.98,9.09,-0.84
