Galaxy,R.A.,Dec.,u_mag,g_mag,r_mag,i_mag,log10(Stellar Mass[Msol]),log10(SFR[Msol/yr])
C1,194.93219,27.994692,17.58,15.73,14.93,14.53,10.2,-1.74
C2,194.90965,27.987198,17.72,15.89,15.09,14.76,10.0,-2.04
C3,194.8562,27.973206,17.88,16.09,15.29,14.91,9.97,-2.01
C4,194.86081,27.99848,18.11,16.32,15.56,15.19,9.88,-1.83
C5,194.83215,27.973501,19.03,17.47,16.76,16.42,9.28,-2.13
C6,194.89877,27.959269,14.66,12.79,11.98,11.53,11.49,-1.02
C7,195.07867,28.009314,19.52,17.78,17.04,16.66,9.22,-2.3
C8,195.17021,27.99661,17.06,15.21,14.42,14.03,10.43,-1.65
C9,195.14758,27.942766,18.98,17.39,16.7,16.41,9.06,-2.25
C10,194.76732,27.959145,18.55,16.72,15.93,15.56,9.83,-2.47
C11,194.89217,27.94684,16.93,15.09,14.27,13.86,10.55,-1.41
C12,194.87485,27.956432,16.66,14.78,13.95,13.55,10.59,-1.89
C13,194.83922,27.973566,18.78,17.07,16.36,16.02,9.39,-2.18
C14,194.93419,27.958418,18.3,16.56,15.82,15.47,9.98,-2.02
C15,194.92625,27.924734,17.86,16.06,15.26,14.91,10.05,-2.03
C16,195.03387,27.976954,14.38,12.34,11.51,11.22,11.5,-0.63
C17,195.11653,27.955988,17.66,15.84,15.07,14.71,10.16,-2.03
C18,195.0754,27.956596,17.27,15.41,14.64,14.25,10.37,-2.46
C19,195.01851,27.987589,16.57,14.71,13.94,13.56,10.57,-1.8
C20,195.17815,27.971266,16.58,14.72,13.92,13.51,10.57,-1.57
