Galaxy,R.A.,Dec.,u_mag,g_mag,r_mag,i_mag,log10(Stellar Mass[Msol]),log10(SFR[Msol/yr]),Spiral,Elliptical
Coma_GZ1,195.64804,28.745235,18.14,16.59,15.89,15.56,9.56,-1.54,1,0
Coma_GZ2,195.84644,28.864182,18.01,16.3,15.53,15.15,9.9,-1.9,0,1
Coma_GZ3,195.67001,28.371307,17.05,15.27,14.48,14.08,10.47,-1.86,1,0
Coma_GZ4,195.43073,29.044668,16.18,14.4,13.6,13.16,10.85,-1.2,1,0
Coma_GZ5,195.31567,28.87218,18.6,16.92,16.19,15.83,9.6,-1.87,1,0
Coma_GZ6,195.10686,28.867817,16.71,14.98,14.23,13.84,10.44,-1.52,0,1
Coma_GZ7,195.13004,28.95054,18.86,17.22,16.8,16.55,8.99,-0.77,1,0
Coma_GZ8,195.1648,29.01942,16.17,14.53,13.81,13.43,10.63,-0.56,1,0
Coma_GZ9,195.05836,28.828169,16.48,14.76,14.02,13.62,10.57,-1.52,0,1
Coma_GZ10,195.0183,28.603498,17.76,16.17,15.45,15.12,9.86,-1.34,0,1
Coma_GZ11,194.87549,28.700144,19.4,17.92,17.17,16.82,9.26,-1.52,0,1
Coma_GZ12,194.52853,29.034578,18.77,17.22,16.66,16.37,9.26,-1.63,1,0
Coma_GZ13,195.0191,27.032475,18.82,17.42,16.74,16.44,9.3,-1.33,1,0
Coma_GZ14,194.81836,27.158068,17.46,15.88,15.15,14.78,10.0,-1.04,0,1
Coma_GZ15,194.65758,27.464003,18.34,16.5,15.84,15.64,9.73,-0.57,1,0
Coma_GZ16,194.28925,27.466404,16.83,14.91,14.08,13.65,10.71,-1.7,0,1
Coma_GZ17,194.40057,27.484816,17.74,15.87,15.05,14.62,10.29,-1.87,0,1
Coma_GZ18,194.35152,27.497818,15.3,13.38,12.46,12.02,11.39,-1.39,0,1
Coma_GZ19,194.11906,27.29128,16.66,15.42,14.94,14.64,9.92,-0.16,1,0
Coma_GZ20,193.92207,27.250763,16.34,14.47,13.63,13.2,10.8,-1.49,0,1
Coma_GZ21,193.7407,28.308434,17.56,15.92,15.19,14.83,9.92,-1.55,0,1
Coma_GZ22,193.7237,28.416985,16.42,14.91,14.19,13.8,10.39,-0.58,0,1
Coma_GZ23,194.01141,28.047968,19.11,17.47,16.77,16.46,9.34,-2.13,0,1
Coma_GZ24,193.95418,27.905867,17.66,15.84,15.04,14.67,10.17,-1.92,0,1
Coma_GZ25,193.86739,27.949694,18.79,17.26,16.59,16.26,9.27,-1.68,0,1
Coma_GZ26,194.19113,28.051622,17.94,16.31,15.56,15.19,9.87,-1.41,0,1
Coma_GZ27,194.17857,28.020447,16.64,14.79,13.95,13.57,10.56,-1.86,0,1
Coma_GZ28,194.16002,28.106277,18.56,16.97,16.3,15.99,9.37,-1.79,0,1
