Galaxy,R.A.,Dec.,u_mag,g_mag,r_mag,i_mag,log10(Stellar Mass[Msol]),log10(SFR[Msol/yr]),Spiral,Elliptical
Field_GZ1,189.42383,32.086723,16.2,15.12,14.69,14.49,9.79,-0.07,1,0
Field_GZ2,189.12463,32.07979,16.58,14.79,14.01,13.59,10.59,-1.37,1,0
Field_GZ3,188.23518,32.142372,16.41,15.21,14.73,14.48,9.58,-0.34,1,0
Field_GZ4,187.15097,31.48197,17.29,16.08,15.48,15.16,9.74,-0.54,1,0
Field_GZ5,187.41318,32.912655,16.44,15.08,14.32,13.97,10.38,0.61,1,0
Field_GZ6,190.04736,31.177114,17.12,15.31,14.67,14.32,10.13,-0.08,1,0
Field_GZ7,190.69832,33.287724,16.57,14.95,14.28,13.92,10.28,-0.57,1,0
Field_GZ8,192.53825,32.00652,17.59,16.51,16.11,15.91,9.22,-0.46,1,0
Field_GZ9,203.08202,28.317213,17.72,15.99,15.24,14.87,10.09,-1.5,0,1
Field_GZ10,192.53632,33.159153,15.25,13.9,13.24,12.93,10.68,0.44,1,0
Field_GZ11,192.24074,34.868755,16.21,15.23,14.64,14.36,10.15,0.43,1,0
Field_GZ12,192.4166,34.255108,16.62,14.96,14.34,14.06,9.73,-1.38,1,0
Field_GZ13,192.7206,34.156864,16.02,14.1,13.27,12.85,10.94,-1.49,0,1
Field_GZ14,202.2371,34.966545,19.3,17.85,17.21,16.88,9.13,-1.65,1,0
Field_GZ15,202.66095,35.339104,17.44,16.21,15.74,15.52,9.5,-0.4,1,0
Field_GZ16,192.9082,31.35277,16.22,14.89,14.31,14.04,9.91,-0.82,1,0
Field_GZ17,192.87312,31.814573,17.71,16.04,15.1,14.6,10.54,-0.08,1,0
Field_GZ18,193.66675,32.367104,17.5,16.07,15.42,15.05,9.95,-0.32,1,0
Field_GZ19,193.46877,32.24168,16.17,14.24,13.42,12.99,10.9,-1.52,0,1
Field_GZ20,193.26529,32.326786,16.9,15.94,15.64,15.48,9.14,-0.19,1,0
Field_GZ21,193.89378,32.20597,17.12,15.35,14.55,14.14,10.36,-1.41,0,1
Field_GZ22,185.56516,33.331642,17.54,15.78,14.98,14.63,10.23,-1.74,0,1
Field_GZ23,184.945,33.706993,18.17,16.71,16.1,15.77,9.46,-1.07,1,0
Field_GZ24,184.14203,33.449574,17.53,15.9,15.34,15.08,9.62,-0.57,1,0
Field_GZ25,184.19044,33.699036,17.73,16.55,16.08,15.84,9.31,-0.54,1,0
Field_GZ26,183.16432,34.68941,17.01,15.88,15.5,15.26,9.33,-0.41,1,0
Field_GZ27,183.52335,34.526237,16.82,15.56,15.07,14.8,9.72,-0.29,1,0
Field_GZ28,183.49152,32.117863,18.88,17.46,16.98,16.73,9.05,-1.25,1,0
Field_GZ29,183.55827,32.421165,16.42,14.58,13.78,13.39,10.61,-1.69,0,1
Field_GZ30,183.5962,32.414642,15.95,14.07,13.22,12.81,10.92,-1.55,0,1
Field_GZ31,195.44083,33.43284,17.87,16.79,16.36,16.15,9.05,-0.77,1,0
Field_GZ32,194.3465,33.45599,17.69,16.42,16.02,15.8,9.19,-0.73,1,0
Field_GZ33,195.11679,34.37969,17.53,15.74,14.94,14.59,10.23,-1.88,0,1
Field_GZ34,185.3196,32.782074,18.09,16.62,15.85,15.44,9.93,-0.61,1,0
Field_GZ35,185.32596,32.71107,15.95,15.02,14.58,14.41,9.76,0.24,1,0
Field_GZ36,186.07916,33.183815,16.84,15.25,14.52,14.16,10.26,-0.1,1,0
Field_GZ37,196.98058,34.919445,15.93,14.99,14.56,14.35,9.84,0.21,1,0
Field_GZ38,189.40329,33.61517,17.25,15.84,15.18,14.87,9.89,-0.64,0,1
Field_GZ39,188.7991,34.122223,15.91,14.61,14.03,13.71,10.29,0.09,1,0
Field_GZ40,189.1081,34.568264,16.3,15.3,14.82,14.59,9.76,-0.11,1,0
Field_GZ41,190.43439,35.060486,15.77,14.92,15.52,15.75,9.71,0.13,1,0
Field_GZ42,190.43562,35.062767,15.13,13.4,12.65,12.28,10.93,-0.16,1,0
Field_GZ43,199.01506,35.043518,15.6,14.15,13.47,13.11,10.34,0.0,1,0
Field_GZ44,197.98093,33.307068,16.59,15.47,15.03,14.82,9.63,-0.08,0,1
Field_GZ45,197.88298,34.32934,17.88,16.68,16.16,15.9,9.25,-0.74,1,0
Field_GZ46,199.01878,33.9222,18.06,16.52,15.85,15.52,9.71,-1.22,0,1
Field_GZ47,183.50494,35.020096,17.15,15.99,15.49,15.21,9.46,-0.63,1,0
Field_GZ48,207.64911,28.149591,16.39,14.82,14.19,13.85,10.26,-0.59,1,0
Field_GZ49,183.83775,28.18002,18.01,16.81,16.29,16.03,9.23,-0.86,1,0
Field_GZ50,184.92206,28.825489,16.79,14.97,14.16,13.78,10.61,-1.88,0,1
Field_GZ51,185.1151,31.172112,15.81,14.62,14.19,13.95,10.01,0.43,1,0
Field_GZ52,186.4846,30.843573,16.2,14.39,13.62,13.21,10.42,-0.43,1,0
Field_GZ53,189.7833,30.406544,16.4,15.2,14.59,14.28,10.15,0.02,1,0
Field_GZ54,190.80794,31.084969,16.05,14.34,13.56,13.18,10.73,-1.36,1,0
Field_GZ55,196.21274,25.839333,17.94,16.27,15.52,15.16,9.95,-1.74,0,1
Field_GZ56,196.31676,25.957644,15.93,14.89,14.25,13.98,10.18,0.08,1,0
Field_GZ57,202.39629,26.409948,17.29,15.75,14.94,14.5,10.42,0.1,1,0
Field_GZ58,201.2807,25.848152,18.03,16.84,16.38,16.11,9.28,-0.61,1,0
Field_GZ59,200.85258,26.543562,17.09,15.64,15.03,14.74,9.85,-0.79,1,0
Field_GZ60,200.77084,26.854565,17.02,16.1,15.78,15.62,9.28,-0.26,1,0
Field_GZ61,200.88823,26.50388,17.6,16.63,16.27,16.11,9.04,-0.52,1,0
Field_GZ62,201.19395,26.738405,16.78,15.01,14.23,14.01,10.5,-1.3,0,1
Field_GZ63,201.66188,27.039856,18.16,16.61,15.94,15.55,9.73,-0.48,1,0
Field_GZ64,202.84093,25.619114,16.43,15.03,14.48,14.18,10.08,-0.27,1,0
Field_GZ65,202.32204,26.78838,18.23,16.83,16.14,15.75,9.69,-0.45,1,0
Field_GZ66,202.68918,26.521599,17.19,16.06,15.65,15.44,9.38,-0.38,1,0
Field_GZ67,202.55807,26.665607,17.71,16.59,15.99,15.69,9.64,-0.5,0,1
Field_GZ68,183.34135,19.499226,18.78,17.51,16.95,16.65,9.1,-0.98,1,0
