vent size,gas percentage,modified gp,velocity,independent,collapsed,buoyant,midpoint,%uncertainty,+/-,,
451,0.173,0.034581052,219,vent size,1054,1053,1053.5,0.09%,1.0E+00,,
346,0.360,0.072015471,34,vent size,71.72,71.71,71.715,0.01%,1.0E-02,,
1255,0.139,0.027873038,190,vent size,604.9,604.8,604.85,0.02%,1.0E-01,,
1344,0.118,0.023505944,291,vent size,1252,1251,1251.5,0.08%,1.0E+00,,
1680,0.072,0,8,vent size,4.005,4.0005,4.00275,0.11%,4.5E-03,,
1686,0.275,0.055078073,99,vent size,371.1,371,371.05,0.03%,1.0E-01,,
4143,0.460,0.09193522,100,vent size,1414,1413,1413.5,0.07%,1.0E+00,,
1761,0.289,0.057722545,329,vent size,3677,3676,3676.5,0.03%,1.0E+00,,
3818,0.335,0.06696097,31,vent size,51.38,51.37,51.375,0.02%,1.0E-02,,
1848,0.333,0.066616904,210,vent size,2881,2880,2880.5,0.03%,1.0E+00,,
2787,0.248,0.049597085,249,vent size,2261,2260,2260.5,0.04%,1.0E+00,,
29,0.668,0.133594315,13,vent size,309,308,308.5,0.32%,1.0E+00,,
4459,0.137,0.027396303,287,vent size,1365,1364,1364.5,0.07%,1.0E+00,,
2714,0.057,0,241,vent size,2670,2669.5,2669.75,0.02%,5.0E-01,,
2123,0.308,0.061586227,67,vent size,207.8,207.7,207.75,0.05%,1.0E-01,,
3017,0.099,0.019792392,407,vent size,1470,1469,1469.5,0.07%,1.0E+00,,
3916,0.156,0.031150453,364,vent size,1955,1955,1955,0.00%,0.0E+00,,
1584,0.296,0.059289237,410,vent size,4050,4049,4049.5,0.02%,1.0E+00,,
2612,0.602,0,294,gas mass frac,0.0473,0.0474,0.04735,0.21%,1.0E-04,,
566,0.282,0,174,gas mass frac,0.0314,0.0315,0.03145,0.32%,1.0E-04,,
4702,0.335,0,335,gas mass frac,0.0678,0.0679,0.06785,0.15%,1.0E-04,,
4138,0.959,0,294,gas mass frac,0.065,0.0651,0.06505,0.15%,1.0E-04,,
4267,0.448,0,342,gas mass frac,0.0635,0.0636,0.06355,0.16%,1.0E-04,,
228,0.073,0,398,gas mass frac,0.0005,0.0006,0.00055,16.67%,1.0E-04,,
3856,0.893,0,53,gas mass frac,0.129,0.1291,0.12905,0.08%,1.0E-04,,
4366,0.081,0,349,gas mass frac,0.0642,0.0643,0.06425,0.16%,1.0E-04,,
846,0.839,0,330,gas mass frac,0.0111,0.0112,0.01115,0.89%,1.0E-04,,
207,0.779,0,470,gas mass frac,0.0003,0.0004,0.00035,25.00%,1.0E-04,,
1121,0.403,0,153,gas mass frac,0.0607,0.0608,0.06075,0.16%,1.0E-04,,
2711,0.450,0,481,gas mass frac,0.0398,0.0399,0.03985,0.25%,1.0E-04,,
1077,0.497,0,261,gas mass frac,0.0252,0.0253,0.02525,0.40%,1.0E-04,,
2884,0.400975021,0,283,gas mass frac,0.0523,0.0524,0.05235,0.19%,1.0E-04,,
2735,0.628222462,0,462,gas mass frac,0.0405,0.0406,0.04055,0.25%,1.0E-04,,
2163,0.109730794,0,101,gas mass frac,0.1004,0.1005,0.10045,0.10%,1.0E-04,,
3701,0.770280144,0,375,gas mass frac,0.0561,0.0562,0.05615,0.18%,1.0E-04,,
2887,0.781748341,0,348,gas mass frac,0.0469,0.047,0.04695,0.21%,1.0E-04,,
4166,0.464437695,0,433,gas mass frac,0.0596,0.0597,0.05965,0.17%,1.0E-04,,
4219,0.525190542,0,345,gas mass frac,0.0629,0.063,0.06295,0.16%,1.0E-04,,
