vent size,gas percentage,modified gp,velocity,independent,collapsed,buoyant,
1824,0.795,0.159,359,vent size,posinf,posinf,
854,0.676,0.135,309,vent size,posinf,posinf,
3735,0.848,0.170,451,vent size,posinf,posinf,
1854,0.663,0.133,215,vent size,posinf,posinf,
451,0.173,0.035,219,vent size,1054,1053,
346,0.360,0.072,34,vent size,71.72,71.71,
2470,0.542,0.108,409,vent size,posinf,posinf,
1553,0.602,0.120,172,vent size,posinf,posinf,
1255,0.139,0.028,190,vent size,604.9,604.8,
4014,0.822,0.164,46,vent size,posinf,posinf,
1344,0.118,0.024,291,vent size,1252,1251,
1680,0.072,,8,vent size,4.005,4.0005,
744,0.818,0.164,362,vent size,posinf,posinf,
3080,0.908,0.182,132,vent size,posinf,posinf,
1686,0.275,0.055,99,vent size,371.1,371,
3735,0.815,0.163,179,vent size,posinf,posinf,
4143,0.460,0.092,100,vent size,1414,1413,
2251,0.464,0.093,438,vent size,posinf,posinf,
2512,0.998,0.200,292,vent size,posinf,posinf,
1761,0.289,0.058,329,vent size,3677,3676,
3818,0.335,0.067,31,vent size,51.38,51.37,
2227,0.314,0.063,370,vent size,neginf,neginf,
1848,0.333,0.067,210,vent size,2881,2880,
637,0.545,0.109,175,vent size,posinf,posinf,
2787,0.248,0.050,249,vent size,2261,2260,
2667,0.606,0.121,330,vent size,posinf,posinf,
29,0.668,0.134,13,vent size,309,308,
803,0.721,0.144,234,vent size,posinf,posinf,
3493,0.482,0.096,461,vent size,posinf,posinf,
4459,0.137,0.027,287,vent size,1365,1364,
3413,0.777,0.155,272,vent size,posinf,posinf,
2714,0.057,,241,vent size,2670,2669.5,
19,0.836,0.167,350,vent size,posinf,posinf,
3375,0.381,0.076,473,vent size,posinf,posinf,
2123,0.308,0.062,67,vent size,207.8,207.7,
974,0.577,0.115,459,vent size,posinf,posinf,
3551,0.889,0.178,69,vent size,posinf,posinf,
4816,0.807,0.161,302,vent size,posinf,posinf,
3017,0.099,0.020,407,vent size,1470,1469,
3916,0.156,0.031,364,vent size,1955,1955,
1584,0.296,0.059,410,vent size,4050,4049,
2612,0.602,,294,gas mass frac,0.0473,0.0474,
566,0.282,,174,gas mass frac,0.0314,0.0315,
4702,0.335,,335,gas mass frac,0.0678,0.0679,
4138,0.959,,294,gas mass frac,0.065,0.0651,
4267,0.448,,342,gas mass frac,0.0635,0.0636,
228,0.073,,398,gas mass frac,0.0005,0.0006,
3856,0.893,,53,gas mass frac,0.129,0.1291,
4366,0.081,,349,gas mass frac,0.0642,0.0643,
846,0.839,,330,gas mass frac,0.0111,0.0112,
207,0.779,,470,gas mass frac,0.0003,0.0004,
1121,0.403,,153,gas mass frac,0.0607,0.0608,
